Label,Sequence
social,1 2 3 4 5 6 7 8 9 10 11
ham,12 13 14 15 9 16 17 18 19
social,1 2 3 4 5 20 8 9 10 11
social,21 22 23 13 24 25 26 20 27 28 29 30
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 43 44
promotional,8 45 46 47 26 48 49 50 51
ham,52 53 35 54 55 56 57 8 45 18 35 58 59
social,60 3 22 61 13 8 45 50 62 2
promotional,63 64 26 65 66 67 68 69 70 71
promotional,8 45 46 47 26 72 49 50 73
ham,12 74 14 15 9 16 17 18 19
promotional,75 44 26 76 73 57 68 77 78
social,79 80 57 24 25 81 82 26 62 83 30
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 94
spam,84 33 85 86 87 34 3 88 57 89 90 91 92 93 26 95
ham,96 97 98 13 54 99 57 100 101 102 103 104
spam,31 32 33 34 35 36 37 38 39 40 3 41 42 105 44
ham,106 107 35 14 26 108 9 8 45 109 110 111
social,79 80 57 24 25 81 82 26 112 113 83 114
promotional,115 116 98 117 118 119 45 120 44 121 122
ham,123 91 124 125 55 70 71 126 119 127
social,1 128 3 4 5 112 113 8 8 129
spam,130 35 131 132 86 38 133 134 135 120 42 43 57 136
promotional,115 116 98 48 137 120 44 121 122
promotional,115 116 98 138 68 120 44 121 139
promotional,115 116 98 140 47 120 44 121 51
social,60 3 22 61 13 8 45 50 6 7 128
social,21 22 23 13 24 25 26 112 113 27 28 29 141
ham,142 53 35 143 144 55 56 57 145 18 35 58 59
ham,6 53 35 32 55 56 57 16 17 18 35 58 59
promotional,106 60 41 65 146 89 45 147 26 73 148 100 101 102
social,79 80 57 8 45 81 82 26 6 7 83 128
promotional,115 116 98 65 45 120 44 121 139
ham,123 91 124 125 55 70 71 126 119 127
social,79 80 57 149 150 81 82 26 20 83 2
ham,52 91 124 125 55 16 17 126 119 127
social,1 30 3 4 5 151 8 9 10 11
spam,152 153 154 89 155 156 157 95 5 158 35 159
spam,130 35 131 132 86 38 133 134 135 120 42 95 57 136
social,1 128 3 4 5 151 8 9 10 11
promotional,115 116 98 72 160 161 120 44 121 162
social,163 144 26 112 113 8 24 25 164 93 165 114
promotional,75 44 26 138 162 57 166 77 100 101 102
promotional,75 44 26 65 162 57 166 77 145
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 43
spam,32 167 168 110 135 121 169 170 171 172 93 9 92 105
