label,message
institution,UCT Update: Campus closed Monday for public holiday.
promotion,Takealot sale! Laptops up to R2000 off. Ends midnight.
personal,"I’m outside your gate, come open."
promotion,Get 2GB extra data with your next recharge. Vodacom Terms apply.
social,Instagram: Your post has 10 new likes. Check it out now.
spam,Claim your inheritance of R5000 today. Email us at prince_nigeria@outlook.com.
institution,FNB Alert: R500 withdrawn from your account at Checkers.
spam,Claim your inheritance of R2000 today. Email us at legal.claims@fraudmail.com.
social,LinkedIn: Someone viewed your profile today.
promotion,Get 20% off all electronics at Makro this weekend only!
spam,Need UNISA assignment solutions? We’ve got you covered. R50 per question. DM us.
institution,Stellenbosch: Semester exams begin 12 June. Good luck!
social,"TikTok: Your video just hit 1,000 views!"
social,Instagram: Your post has 10 new likes. Check it out now.
personal,"I’m outside your gate, come open."
personal,"Hey, are you still coming to the party tonight?"
social,WhatsApp: You received a voice note from Sipho.
promotion,Get 70% off all electronics at Makro this weekend only!
personal,"I’m outside your gate, come open."
social,Snapchat: You've got a snap from Mbali.
social,Snapchat: You've got a snap from Mbali.
personal,Ma says you must buy bread and milk on your way.
social,Facebook: You have a new friend request from Thando M.
spam,You have been selected for a FREE cruise! Call 0800123456 now.
personal,Ma says you must buy bread and milk on your way.
spam,Need UNISA assignment solutions? We’ve got you covered. R50 per question. DM us.
social,"TikTok: Your video just hit 1,000 views!"
promotion,Takealot sale! Laptops up to R500 off. Ends midnight.
promotion,Get 20% off all electronics at Makro this weekend only!
social,Snapchat: You've got a snap from Mbali.
social,"TikTok: Your video just hit 1,000 views!"
institution,UP: Your student account has been credited with R250.
spam,R500 has been reserved in your name. Act now! http://bit.ly/win5000
institution,UP: Your student account has been credited with R1000.
social,Messenger: Lungi sent you a photo.
institution,Capitec: You received an eWallet of R250 from +279876.
spam,Guaranteed 80%+ in your module. Pay only after results! WhatsApp 0812345678.
institution,FNB Alert: R5000 withdrawn from your account at Checkers.
social,Snapchat: You've got a snap from Mbali.
social,Instagram: 3 people mentioned you in their stories.
institution,UCT Update: Campus closed Monday for public holiday.
institution,UJ Notice: Semester 2 registration closes Friday.
social,WhatsApp: You received a voice note from Sipho.
institution,UNISA Notice: Assignment 2 due 30 May. Submit on myUNISA.
promotion,KFC special: Buy one Zinger meal and get one free. Today only!
personal,Don’t forget to bring your ID for the trip tomorrow.
personal,"Hey, are you still coming to the party tonight?"
social,Twitter: You have 3 new followers.
institution,Stellenbosch: Semester exams begin 12 June. Good luck!
institution,UCT Update: Campus closed Monday for public holiday.
institution,UP: Your student account has been credited with R250.
spam,You have been selected for a FREE cruise! Call 0812345678 now.
personal,Don’t forget to bring your ID for the trip tomorrow.
social,Instagram: Your post has 10 new likes. Check it out now.
spam,Pass COS3701 easily. Get full exam pack now. Contact prince_nigeria@outlook.com.
social,Twitter: You have 3 new followers.
spam,R250 has been reserved in your name. Act now! http://scamlink.net/verify
social,Snapchat: You've got a snap from Mbali.
institution,Capitec alert: R100 paid to Checkers via card.
social,Facebook: You have a new friend request from Thando M.
spam,You have been selected for a FREE cruise! Call 0812345678 now.
spam,Need UNISA assignment solutions? We’ve got you covered. R50 per question. DM us.
spam,Stressed about exams? We help you write assignments! WhatsApp 0812345678 for a quote.
institution,Capitec alert: R2000 paid to Checkers via card.
personal,Ma says you must buy bread and milk on your way.
spam,Stressed about exams? We help you write assignments! WhatsApp 0800123456 for a quote.
promotion,Get 2GB extra data with your next recharge. Vodacom Terms apply.
personal,"Hey, are you still coming to the party tonight?"
promotion,Takealot sale! Laptops up to R5000 off. Ends midnight.
promotion,Takealot sale! Laptops up to R5000 off. Ends midnight.
social,Instagram: 3 people mentioned you in their stories.
personal,"Hey, are you still coming to the party tonight?"
institution,FNB Alert: R2000 withdrawn from your account at Checkers.
institution,Eskom: Expect load shedding in your area between 6pm and 9pm.
institution,Standard Bank: Your balance is below R100. Top up soon.
institution,Stellenbosch: Semester exams begin 12 June. Good luck!
social,Twitter: You have 3 new followers.
social,"TikTok: Your video just hit 1,000 views!"
promotion,Get 50% off all electronics at Makro this weekend only!
promotion,Takealot sale! Laptops up to R250 off. Ends midnight.
spam,URGENT: Your SASSA card is blocked. Verify now at http://scamlink.net/verify.
social,"TikTok: Your video just hit 1,000 views!"
personal,Happy birthday! Hope you have a great one!
social,"TikTok: Your video just hit 1,000 views!"
spam,Pass COS3701 easily. Get full exam pack now. Contact prince_nigeria@outlook.com.
personal,Happy birthday! Hope you have a great one!
promotion,Get 70% off all electronics at Makro this weekend only!
personal,Happy birthday! Hope you have a great one!
spam,Claim your inheritance of R250 today. Email us at prince_nigeria@outlook.com.
personal,"I’m outside your gate, come open."
personal,"I’m outside your gate, come open."
social,Snapchat: You've got a snap from Mbali.
social,Instagram: Your post has 10 new likes. Check it out now.
social,Instagram: Your post has 10 new likes. Check it out now.
institution,Your ABSA account ending in 5678 has been credited with R2000.
personal,"Hey, are you still coming to the party tonight?"
spam,Pass COS3701 easily. Get full exam pack now. Contact prince_nigeria@outlook.com.
institution,FNB Alert: R1000 withdrawn from your account at Checkers.
personal,Happy birthday! Hope you have a great one!
promotion,Clicks Pharmacy: Flu shots now only R250. Walk-in welcome.
institution,Capitec: You received an eWallet of R500 from +275678.
personal,Ma says you must buy bread and milk on your way.
personal,Ma says you must buy bread and milk on your way.
personal,"Hey, are you still coming to the party tonight?"
personal,"Hey, are you still coming to the party tonight?"
personal,Ma says you must buy bread and milk on your way.
personal,Happy birthday! Hope you have a great one!
social,Instagram: Your post has 10 new likes. Check it out now.
personal,Happy birthday! Hope you have a great one!
personal,"I’m outside your gate, come open."
personal,Ma says you must buy bread and milk on your way.
spam,Guaranteed 80%+ in your module. Pay only after results! WhatsApp 0800123456.
spam,Claim your inheritance of R500 today. Email us at legal.claims@fraudmail.com.
social,Telegram: New login detected from a new device.
personal,Happy birthday! Hope you have a great one!
promotion,Get 35% off all electronics at Makro this weekend only!
spam,URGENT: Your SASSA card is blocked. Verify now at http://claim-now.co.za.
institution,Stellenbosch: Semester exams begin 12 June. Good luck!
social,Instagram: 3 people mentioned you in their stories.
promotion,KFC special: Buy one Zinger meal and get one free. Today only!
